GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
0400000US09,09,Connecticut,296500,1092
0500000US09001,09001,"Fairfield County, Connecticut",477700,4192
0500000US09003,09003,"Hartford County, Connecticut",247400,1442
0500000US09005,09005,"Litchfield County, Connecticut",285800,4131
0500000US09007,09007,"Middlesex County, Connecticut",307400,4434
0500000US09009,09009,"New Haven County, Connecticut",273300,1644
0500000US09011,09011,"New London County, Connecticut",268900,3676
0500000US09013,09013,"Tolland County, Connecticut",266100,3995
0500000US09015,09015,"Windham County, Connecticut",230100,3580
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",-,**
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",366300,8401
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",236000,6651
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",442400,17703
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",342200,6065
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut","1,000,000+",***
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",768800,38201
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",629700,12456
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut","1,000,000+",***
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",439000,14848
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut","1,000,000+",***
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",400500,19161
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",473400,14606
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",479400,7412
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",655800,28947
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",714900,20839
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",381900,7267
0600000US0900168310,0900168310,"Sherman town, Fairfield County, Connecticut",574500,38634
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",574900,12588
0600000US0900174190,0900174190,"Stratford town, Fairfield County, Connecticut",299600,6290
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",468100,7068
0600000US0900183430,0900183430,"Weston town, Fairfield County, Connecticut",950200,34063
