GEO.id,GEO.id2,GEO.display-label,B25077_001E,B25077_001M
Id,Id2,Geography,Estimate!!Median value (dollars),Margin of Error!!Median value (dollars)
0500000US09001,09001,"Fairfield County, Connecticut",428500,3954
0500000US09003,09003,"Hartford County, Connecticut",240600,1505
0500000US09005,09005,"Litchfield County, Connecticut",251000,3599
0500000US09007,09007,"Middlesex County, Connecticut",286800,3810
0500000US09009,09009,"New Haven County, Connecticut",248600,2085
0500000US09011,09011,"New London County, Connecticut",241700,2904
0500000US09013,09013,"Tolland County, Connecticut",253100,4356
0500000US09015,09015,"Windham County, Connecticut",204400,4085
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",-,**
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",342400,8840
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",174700,3935
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",377900,16219
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",299600,7920
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",1471700,80318
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",641500,26631
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",611500,14242
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",1251200,62573
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",370200,11983
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",1355800,98248
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",348800,9547
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",398200,11547
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",435800,8709
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",579400,24003
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",653100,17810
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",349300,5353
0600000US0900168310,0900168310,"Sherman town, Fairfield County, Connecticut",466200,22848
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",532700,13148
0600000US0900174190,0900174190,"Stratford town, Fairfield County, Connecticut",258400,4143
