GEO.id,GEO.id2,GEO.display-label,B25077_001E,B25077_001M
0600000US0900540290,0900540290,"Kent town, Litchfield County, Connecticut",367600,35416
0600000US0900553470,0900553470,"Norfolk town, Litchfield County, Connecticut",349300,42284
0600000US0900554030,0900554030,"North Canaan town, Litchfield County, Connecticut",188900,15375
0600000US0900565930,0900565930,"Roxbury town, Litchfield County, Connecticut",629300,51239
0600000US0900586440,0900586440,"Winchester town, Litchfield County, Connecticut",164100,8260
0600000US0900551350,0900551350,"New Hartford town, Litchfield County, Connecticut",295800,18603
0600000US0900579720,0900579720,"Washington town, Litchfield County, Connecticut",421300,57758
0600000US0900502760,0900502760,"Barkhamsted town, Litchfield County, Connecticut",258500,17015
0600000US0900325990,0900325990,"Enfield town, Hartford County, Connecticut",185700,2317
0600000US0900352140,0900352140,"Newington town, Hartford County, Connecticut",232700,5490
0600000US0900368940,0900368940,"Simsbury town, Hartford County, Connecticut",329500,7317
0600000US0900371390,0900371390,"South Windsor town, Hartford County, Connecticut",282200,6755
0600000US0900382590,0900382590,"West Hartford town, Hartford County, Connecticut",329000,5859
0600000US0900387070,0900387070,"Windsor Locks town, Hartford County, Connecticut",191300,4532
0600000US0900324800,0900324800,"East Windsor town, Hartford County, Connecticut",214600,12565
0600000US0900308490,0900308490,"Bristol town, Hartford County, Connecticut",195900,4807
0600000US0900327600,0900327600,"Farmington town, Hartford County, Connecticut",330400,9468
0600000US0900370550,0900370550,"Southington town, Hartford County, Connecticut",275700,6102
0600000US0900302060,0900302060,"Avon town, Hartford County, Connecticut",385100,15747
0600000US0900384900,0900384900,"Wethersfield town, Hartford County, Connecticut",249300,6836
0600000US0900304300,0900304300,"Berlin town, Hartford County, Connecticut",284300,7058
0600000US0900332640,0900332640,"Granby town, Hartford County, Connecticut",296600,13135
0600000US0900337140,0900337140,"Hartland town, Hartford County, Connecticut",266600,10728
0600000US0900337070,0900337070,"Hartford town, Hartford County, Connecticut",162800,3291
0600000US0900344700,0900344700,"Manchester town, Hartford County, Connecticut",184300,4124
0600000US0900305910,0900305910,"Bloomfield town, Hartford County, Connecticut",216800,7169
0600000US0900374540,0900374540,"Suffield town, Hartford County, Connecticut",296600,10900
0600000US0900345820,0900345820,"Marlborough town, Hartford County, Connecticut",314300,21844
0600000US0901513810,0901513810,"Chaplin town, Windham County, Connecticut",202000,15811
0600000US0901512130,0901512130,"Canterbury town, Windham County, Connecticut",221000,15237
0600000US0901559980,0901559980,"Plainfield town, Windham County, Connecticut",173700,6365
0600000US0901501430,0901501430,"Ashford town, Windham County, Connecticut",235400,22779
0600000US0901588190,0901588190,"Woodstock town, Windham County, Connecticut",256800,14750
0600000US0901567400,0901567400,"Scotland town, Windham County, Connecticut",234700,17811
0600000US0901561030,0901561030,"Pomfret town, Windham County, Connecticut",269600,14803
0600000US0901509190,0901509190,"Brooklyn town, Windham County, Connecticut",227800,11673
0600000US0901540500,0901540500,"Killingly town, Windham County, Connecticut",187000,8155
0600000US0901562710,0901562710,"Putnam town, Windham County, Connecticut",187800,7864
0600000US0901573420,0901573420,"Sterling town, Windham County, Connecticut",198500,15034
0600000US0901521860,0901521860,"Eastford town, Windham County, Connecticut",254100,11285
0600000US0901536000,0901536000,"Hampton town, Windham County, Connecticut",226500,13491
0600000US0901115910,0901115910,"Colchester town, New London County, Connecticut",253300,11385
0600000US0901142600,0901142600,"Ledyard town, New London County, Connecticut",231800,8185
0600000US0901152350,0901152350,"New London town, New London County, Connecticut",181300,9106
0600000US0901106820,0901106820,"Bozrah town, New London County, Connecticut",229500,18954
0600000US0901162150,0901162150,"Preston town, New London County, Connecticut",246900,16632
0600000US0901100000,0901100000,"County subdivisions not defined, New London County, Connecticut",-,**
0600000US0901129910,0901129910,"Franklin town, New London County, Connecticut",246100,11603
0600000US0901142390,0901142390,"Lebanon town, New London County, Connecticut",245600,16054
0600000US0901166210,0901166210,"Salem town, New London County, Connecticut",274300,14528
0600000US0901171670,0901171670,"Sprague town, New London County, Connecticut",219400,24939
0600000US0901134250,0901134250,"Groton town, New London County, Connecticut",237000,8799
0600000US0901133900,0901133900,"Griswold town, New London County, Connecticut",185000,17951
0600000US0900781680,0900781680,"Westbrook town, Middlesex County, Connecticut",365800,24603
0600000US0900720810,0900720810,"Durham town, Middlesex County, Connecticut",331300,22084
0600000US0900761800,0900761800,"Portland town, Middlesex County, Connecticut",245800,11775
0600000US0900747080,0900747080,"Middlefield town, Middlesex County, Connecticut",280400,15849
0600000US0900722490,0900722490,"East Hampton town, Middlesex County, Connecticut",268100,10202
0600000US0901306260,0901306260,"Bolton town, Tolland County, Connecticut",287100,13711
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",345200,5311
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",296600,7722
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",396900,7443
0600000US0900922910,0900922910,"East Haven town, New Haven County, Connecticut",212900,6417
0600000US0900946940,0900946940,"Middlebury town, New Haven County, Connecticut",344800,14160
0600000US0900901220,0900901220,"Ansonia town, New Haven County, Connecticut",211100,12288
0600000US0900958300,0900958300,"Oxford town, New Haven County, Connecticut",345400,12695
0600000US0900919550,0900919550,"Derby town, New Haven County, Connecticut",201500,14636
0600000US0900969640,0900969640,"Southbury town, New Haven County, Connecticut",326400,11335
0600000US0900967610,0900967610,"Seymour town, New Haven County, Connecticut",246600,12083
0600000US0900537280,0900537280,"Harwinton town, Litchfield County, Connecticut",294400,12946
0600000US0900312270,0900312270,"Canton town, Hartford County, Connecticut",311800,19506
0600000US0900360120,0900360120,"Plainville town, Hartford County, Connecticut",212300,10830
0600000US0900387000,0900387000,"Windsor town, Hartford County, Connecticut",220300,5879
0600000US0900350440,0900350440,"New Britain town, Hartford County, Connecticut",159300,2551
0600000US0900322070,0900322070,"East Granby town, Hartford County, Connecticut",278500,12228
0600000US0900310100,0900310100,"Burlington town, Hartford County, Connecticut",333200,18663
0600000US0900322630,0900322630,"East Hartford town, Hartford County, Connecticut",162000,2427
0600000US0900331240,0900331240,"Glastonbury town, Hartford County, Connecticut",348600,7611
0600000US0900365370,0900365370,"Rocky Hill town, Hartford County, Connecticut",263000,7760
0600000US0901575870,0901575870,"Thompson town, Windham County, Connecticut",203900,15036
0600000US0901586790,0901586790,"Windham town, Windham County, Connecticut",155900,6414
0400000US09,09,Connecticut,272700,985
