GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
0400000US09,09,Connecticut,269300,1149
0500000US09001,09001,"Fairfield County, Connecticut",413400,4573
0500000US09003,09003,"Hartford County, Connecticut",234900,1503
0500000US09005,09005,"Litchfield County, Connecticut",249500,4061
0500000US09007,09007,"Middlesex County, Connecticut",283800,3086
0500000US09009,09009,"New Haven County, Connecticut",244000,1800
0500000US09011,09011,"New London County, Connecticut",241500,3065
0500000US09013,09013,"Tolland County, Connecticut",247800,4208
0500000US09015,09015,"Windham County, Connecticut",196900,3120
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",-,**
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",335800,9592
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",168200,2736
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",358500,11262
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",286400,5437
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",1248200,69247
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",629200,24652
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",589500,11676
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",1205600,40637
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",374500,13018
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",1373100,122251
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",356300,11360
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",402200,12464
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",416800,10179
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",603300,22737
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",673900,21110
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",338200,5045
0600000US0900168310,0900168310,"Sherman town, Fairfield County, Connecticut",472000,33863
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",504200,14242
0600000US0900174190,0900174190,"Stratford town, Fairfield County, Connecticut",249600,4794
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",392800,7448
0600000US0900183430,0900183430,"Weston town, Fairfield County, Connecticut",857700,32830
0600000US0900183500,0900183500,"Westport town, Fairfield County, Connecticut",1087700,53428
0600000US0900186370,0900186370,"Wilton town, Fairfield County, Connecticut",812100,28321
0600000US0900302060,0900302060,"Avon town, Hartford County, Connecticut",374300,14993
0600000US0900304300,0900304300,"Berlin town, Hartford County, Connecticut",288000,7338
0600000US0900305910,0900305910,"Bloomfield town, Hartford County, Connecticut",211800,8794
