GEO.id,GEO.id2,GEO.display-label,B25077_001E,B25077_001M
Id,Id2,Geography,Estimate!!Median value (dollars),Margin of Error!!Median value (dollars)
0600000US0900310100,900310100,"Burlington town, Hartford County, Connecticut",339000,16366
0600000US0900312270,900312270,"Canton town, Hartford County, Connecticut",328500,18407
0600000US0900322070,900322070,"East Granby town, Hartford County, Connecticut",285900,14153
0600000US0900322630,900322630,"East Hartford town, Hartford County, Connecticut",168300,3381
0600000US0900324800,900324800,"East Windsor town, Hartford County, Connecticut",208500,21521
0600000US0900325990,900325990,"Enfield town, Hartford County, Connecticut",191300,2803
0600000US0900327600,900327600,"Farmington town, Hartford County, Connecticut",334000,15331
0600000US0900331240,900331240,"Glastonbury town, Hartford County, Connecticut",345100,10466
0600000US0900332640,900332640,"Granby town, Hartford County, Connecticut",304200,17193
0600000US0900337070,900337070,"Hartford town, Hartford County, Connecticut",170200,4765
0600000US0900337140,900337140,"Hartland town, Hartford County, Connecticut",277300,14072
0600000US0900344700,900344700,"Manchester town, Hartford County, Connecticut",180000,5825
0600000US0900345820,900345820,"Marlborough town, Hartford County, Connecticut",305500,19779
0600000US0900350440,900350440,"New Britain town, Hartford County, Connecticut",161900,2481
0600000US0900352140,900352140,"Newington town, Hartford County, Connecticut",233200,5169
0600000US0900360120,900360120,"Plainville town, Hartford County, Connecticut",214000,12373
0600000US0900365370,900365370,"Rocky Hill town, Hartford County, Connecticut",270800,11964
0600000US0900368940,900368940,"Simsbury town, Hartford County, Connecticut",341000,7392
0600000US0900370550,900370550,"Southington town, Hartford County, Connecticut",286900,8157
0600000US0900371390,900371390,"South Windsor town, Hartford County, Connecticut",290500,9251
0600000US0900374540,900374540,"Suffield town, Hartford County, Connecticut",329400,13153
0600000US0900382590,900382590,"West Hartford town, Hartford County, Connecticut",330100,6442
0600000US0900384900,900384900,"Wethersfield town, Hartford County, Connecticut",257200,9362
0600000US0900387000,900387000,"Windsor town, Hartford County, Connecticut",223500,5274
0600000US0900387070,900387070,"Windsor Locks town, Hartford County, Connecticut",195200,6356
0600000US0900502760,900502760,"Barkhamsted town, Litchfield County, Connecticut",262900,15643
0600000US0900504930,900504930,"Bethlehem town, Litchfield County, Connecticut",342300,15746
0600000US0900508210,900508210,"Bridgewater town, Litchfield County, Connecticut",510800,60920
0600000US0900510940,900510940,"Canaan town, Litchfield County, Connecticut",386800,57297
0600000US0900516050,900516050,"Colebrook town, Litchfield County, Connecticut",262200,24168
0600000US0900517240,900517240,"Cornwall town, Litchfield County, Connecticut",464900,47802
0600000US0900532290,900532290,"Goshen town, Litchfield County, Connecticut",332700,30624
0600000US0900537280,900537280,"Harwinton town, Litchfield County, Connecticut",301000,26042
0600000US0900540290,900540290,"Kent town, Litchfield County, Connecticut",352800,39993
0600000US0900543370,900543370,"Litchfield town, Litchfield County, Connecticut",306300,22915
0600000US0900549460,900549460,"Morris town, Litchfield County, Connecticut",308000,32252
0600000US0900551350,900551350,"New Hartford town, Litchfield County, Connecticut",287500,25354
0600000US0900552630,900552630,"New Milford town, Litchfield County, Connecticut",302600,14851
0600000US0900553470,900553470,"Norfolk town, Litchfield County, Connecticut",334900,55998
0600000US0900554030,900554030,"North Canaan town, Litchfield County, Connecticut",196900,21644
0600000US0900560750,900560750,"Plymouth town, Litchfield County, Connecticut",207900,10380
0600000US0900565930,900565930,"Roxbury town, Litchfield County, Connecticut",595400,60255
0600000US0900566420,900566420,"Salisbury town, Litchfield County, Connecticut",552100,180279
0600000US0900567960,900567960,"Sharon town, Litchfield County, Connecticut",354800,71528
0600000US0900575730,900575730,"Thomaston town, Litchfield County, Connecticut",221700,13257
0600000US0900576570,900576570,"Torrington town, Litchfield County, Connecticut",153800,3868
0600000US0900579510,900579510,"Warren town, Litchfield County, Connecticut",370400,28033
0600000US0900579720,900579720,"Washington town, Litchfield County, Connecticut",440100,100275
0600000US0900580490,900580490,"Watertown town, Litchfield County, Connecticut",242900,10280
0600000US0900586440,900586440,"Winchester town, Litchfield County, Connecticut",192000,11054
0600000US0900587910,900587910,"Woodbury town, Litchfield County, Connecticut",383100,28222
0600000US0900700000,900700000,"County subdivisions not defined, Middlesex County, Connecticut",-,**
0600000US0900714300,900714300,"Chester town, Middlesex County, Connecticut",336900,20992
0600000US0900715350,900715350,"Clinton town, Middlesex County, Connecticut",288000,8554
